,Drug,Treated,Repulls,Mortalities,Treatment Success(%),Case Fatality Rate(%),$/Hd/Rx,Treatment $,Month,Year,Risk,Season
4,Adspec,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
5,Advocin,698,93.0,73.0,0.87,0.1,47.63,33247.49,May,2018,High,Other
6,AdvocinAs2ndRx,6,0.0,0.0,1.0,0.0,51.86,311.16,May,2018,High,Other
7,AlbonBolus,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
8,Baytril,2,0.0,2.0,1.0,1.0,30.94,61.88,May,2018,High,Other
9,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
10,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
11,Bio-Mycin,490,90.0,14.0,0.82,0.03,11.03,5404.7,May,2018,High,Other
12,Bio-MyicnAs3rdRx,10,1.0,1.0,0.9,0.1,8.74,87.4,May,2018,High,Other
13,Borgal,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
14,Ceftiflex,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
15,Draxxin,7792,786.0,301.0,0.9,0.04,48.55,378282.12,May,2018,High,Other
16,DraxxinAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
18,Excede,810,119.0,54.0,0.85,0.07,36.05,29200.5,May,2018,High,Other
19,ExcedeAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
20,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
21,Excenel,165,15.0,42.0,0.91,0.25,37.47,6182.55,May,2018,High,Other
22,Hexasol,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
23,LA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
25,MassRxDraxxin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
27,MassRxExcede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
28,MassRxLA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
29,MassRxMicotil,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
30,MassRxNaxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
32,MassRxNuflor,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
33,MassRxZactran,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
0,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
1,MassRxZuprevo,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
2,Micotil,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
3,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
4,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
5,Naxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
6,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
7,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
8,Nuflor,858,132.0,80.0,0.85,0.09,45.28,38854.53,May,2018,High,Other
9,NuflorAs2ndRx,15,2.0,1.0,0.87,0.07,46.06,690.9,May,2018,High,Other
10,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
11,NuflorGold,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
13,Oxy100,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
14,Polyflex,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
15,Pro-Pen-G,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
16,ResflorGold,2,0.0,2.0,1.0,1.0,0.0,0.0,May,2018,High,Other
17,ResflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
18,Tetradure,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
19,Tylan,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
20,Zactran,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,High,Other
21,Zuprevo,91,12.0,5.0,0.87,0.05,49.11,4469.01,May,2018,High,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
2,A180,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
4,Adspec,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
5,Advocin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
6,AlbonBolus,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
7,Baytril,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
10,Bio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
12,Borgal,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
13,Ceftiflex,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
14,Draxxin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
17,Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
20,Excenel,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
21,Hexasol,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
22,LA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
24,MassRxDraxxin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
26,MassRxExcede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
27,MassRxLA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
28,MassRxMicotil,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
29,MassRxNaxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
31,MassRxNuflor,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
32,MassRxZactran,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
0,MassRxZuprevo,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
1,Micotil,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
2,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
3,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
4,Naxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
7,Nuflor,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
10,NuflorGold,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
12,Oxy100,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
13,Polyflex,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
14,Pro-Pen-G,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
15,ResflorGold,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
17,Tetradure,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
18,Tylan,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
19,Zactran,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
20,Zuprevo,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,UltraHigh,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
2,A180,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
4,Adspec,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
5,Advocin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
6,AlbonBolus,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
7,Baytril,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
10,Bio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
12,Borgal,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
13,Ceftiflex,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
14,Draxxin,307,110.0,15.0,0.64,0.05,38.17,11718.19,May,2018,Natural,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
17,Excede,93,33.0,2.0,0.65,0.02,28.32,2633.76,May,2018,Natural,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
20,Excenel,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
21,Hexasol,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
22,LA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
24,MassRxDraxxin,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
26,MassRxExcede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
27,MassRxLA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
28,MassRxMicotil,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
29,MassRxNaxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
31,MassRxNuflor,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
32,MassRxZactran,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,May,2018,Natural,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
2,A180,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
4,Adspec,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
5,Advocin,547,84.0,75.0,0.85,0.14,43.42,23753.47,June,2018,Low,Other
6,AdvocinAs2ndRx,370,0.0,49.0,1.0,0.13,0.0,0.0,June,2018,Low,Other
7,AlbonBolus,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
8,Baytril,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
9,BaytrilAs2ndRx,650,0.0,62.0,1.0,0.1,0.0,0.0,June,2018,Low,Other
10,BaytrilAs3rdRx,49,0.0,10.0,1.0,0.2,0.0,0.0,June,2018,Low,Other
11,Bio-Mycin,69,0.0,1.0,1.0,0.01,0.0,0.0,June,2018,Low,Other
12,Bio-MyicnAs3rdRx,2,0.0,0.0,1.0,0.0,0.0,0.0,June,2018,Low,Other
13,Borgal,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
14,Ceftiflex,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
15,Draxxin,5866,176.0,273.0,0.97,0.05,46.77,274323.5,June,2018,Low,Other
16,DraxxinAs2ndRx,60,0.0,13.0,1.0,0.22,0.0,0.0,June,2018,Low,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
18,Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
19,ExcedeAs2ndRx,104,0.0,33.0,1.0,0.32,0.0,0.0,June,2018,Low,Other
20,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
21,Excenel,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
22,Hexasol,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
23,LA-200,68,0.0,0.0,1.0,0.0,6.6,448.8,June,2018,Low,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
25,MassRxDraxxin,889,0.0,27.0,1.0,0.03,15.54,13815.06,June,2018,Low,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
27,MassRxExcede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
28,MassRxLA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
29,MassRxMicotil,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
30,MassRxNaxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
32,MassRxNuflor,24,0.0,0.0,1.0,0.0,2.78,66.72,June,2018,Low,Other
0,MassRxZuprevo,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
1,Micotil,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
2,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
3,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
4,Naxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
7,Nuflor,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
10,NuflorGold,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
12,Oxy100,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
13,Polyflex,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
14,Pro-Pen-G,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
15,ResflorGold,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
17,Tetradure,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
18,Tylan,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
19,Zactran,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
20,Zuprevo,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Natural,Other
0,MassRxZactran,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
1,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
2,MassRxZuprevo,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
3,Micotil,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
4,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
5,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
6,Naxcel,2,0.0,2.0,1.0,1.0,52.11,104.22,June,2018,Low,Other
7,NaxcelAs2ndRx,63,0.0,17.0,1.0,0.27,0.0,0.0,June,2018,Low,Other
8,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
9,Nuflor,423,0.0,54.0,0.83,0.13,42.54,17994.42,June,2018,Low,Other
10,NuflorAs2ndRx,36,0.0,5.0,1.0,0.14,0.0,0.0,June,2018,Low,Other
11,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
12,NuflorGold,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
13,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
14,Oxy100,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
15,Polyflex,51,0.0,3.0,1.0,0.06,3.78,192.78,June,2018,Low,Other
16,Pro-Pen-G,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
17,ResflorGold,552,0.0,73.0,0.82,0.13,34.25,18906.0,June,2018,Low,Other
18,ResflorGoldAs2ndRx,73,0.0,14.0,1.0,0.19,0.0,0.0,June,2018,Low,Other
19,Tetradure,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
20,Tylan,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
21,Zactran,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
22,Zuprevo,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
2,A180,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
4,Adspec,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
5,Advocin,963,63.0,137.0,0.93,0.14,40.95,39434.85,June,2018,Moderate,Other
6,AdvocinAs2ndRx,67,0.0,15.0,1.0,0.22,0.0,0.0,June,2018,Moderate,Other
7,AlbonBolus,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
8,Baytril,3,0.0,0.0,1.0,0.0,29.51,88.53,June,2018,Moderate,Other
9,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
10,BaytrilAs3rdRx,126,0.0,28.0,1.0,0.22,0.0,0.0,June,2018,Moderate,Other
11,Bio-Mycin,1386,144.0,30.0,0.9,0.02,10.51,14572.8,June,2018,Moderate,Other
12,Bio-MyicnAs3rdRx,54,4.0,12.0,0.93,0.22,6.7,361.8,June,2018,Moderate,Other
13,Borgal,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
14,Ceftiflex,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
15,Draxxin,5604,435.0,323.0,0.92,0.06,41.06,230114.25,June,2018,Moderate,Other
16,DraxxinAs2ndRx,43,14.0,8.0,0.67,0.19,36.01,1548.22,June,2018,Moderate,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
18,Excede,662,166.0,81.0,0.75,0.12,44.37,29369.63,June,2018,Moderate,Other
19,ExcedeAs2ndRx,435,0.0,131.0,1.0,0.3,15.9,6916.5,June,2018,Moderate,Other
20,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
21,Excenel,77,0.0,9.0,1.0,0.12,55.21,4251.17,June,2018,Moderate,Other
22,Hexasol,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
23,LA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
25,MassRxDraxxin,84,0.0,0.0,1.0,0.0,24.92,2093.28,June,2018,Moderate,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
27,MassRxExcede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
28,MassRxLA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
29,MassRxMicotil,4099,165.0,23.0,0.96,0.01,0.0,0.0,June,2018,Moderate,Other
30,MassRxNaxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
32,MassRxNuflor,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
33,MassRxZactran,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
0,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
1,MassRxZuprevo,666,1.0,16.0,1.0,0.02,18.62,12400.92,June,2018,Moderate,Other
2,Micotil,16,5.0,1.0,0.69,0.06,30.87,493.92,June,2018,Moderate,Other
3,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
4,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
5,Naxcel,10,0.0,0.0,1.0,0.0,38.54,385.4,June,2018,Moderate,Other
6,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
7,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
8,Nuflor,819,191.0,123.0,0.77,0.15,41.83,34258.77,June,2018,Moderate,Other
9,NuflorAs2ndRx,64,17.0,19.0,0.73,0.3,41.46,2653.44,June,2018,Moderate,Other
10,NuflorAs3rdRx,202,0.0,77.0,1.0,0.38,0.0,0.0,June,2018,Moderate,Other
11,NuflorGold,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
13,Oxy100,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
14,Polyflex,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
15,Pro-Pen-G,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
16,ResflorGold,134,16.0,14.0,0.88,0.1,25.23,3380.82,June,2018,Moderate,Other
17,ResflorGoldAs2ndRx,342,2.0,42.0,0.99,0.12,22.14,7571.88,June,2018,Moderate,Other
18,Tetradure,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
19,Tylan,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Moderate,Other
20,Zactran,215,37.0,15.0,0.83,0.07,33.66,7236.9,June,2018,Moderate,Other
21,Zuprevo,1271,0.0,154.0,1.0,0.12,25.86,32868.06,June,2018,Moderate,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
2,A180,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
4,Adspec,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
5,Advocin,500,12.0,39.0,0.98,0.08,43.18,21587.5,June,2018,High,Other
6,AdvocinAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
7,AlbonBolus,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
8,Baytril,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
9,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
10,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
11,Bio-Mycin,303,47.0,7.0,0.84,0.02,12.7,3846.59,June,2018,High,Other
12,Bio-MyicnAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,High,Other
