,Drug,Treated,Repulls,Mortalities,Treatment Success(%),Case Fatality Rate(%),$/Hd/Rx,Treatment $,Month,Year,Risk,Season
3,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
4,Naxcel,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
7,Nuflor,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
10,NuflorGold,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
12,Oxy100,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
13,Polyflex,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
14,Pro-Pen-G,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
15,ResflorGold,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
17,Tetradure,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
18,Tylan,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
19,Zactran,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
20,Zuprevo,0,0.0,0.0,0.0,0.0,,,May,2018,UltraHigh,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
2,A180,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
4,Adspec,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
5,Advocin,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
6,AlbonBolus,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
7,Baytril,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
10,Bio-Mycin,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
12,Borgal,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
13,Ceftiflex,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
14,Draxxin,307,110.0,15.0,64.17,4.89,8.17,1718.19,May,2018,Natural,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
17,Excede,93,33.0,2.0,64.52,2.15,8.32,633.76,May,2018,Natural,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
20,Excenel,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
21,Hexasol,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
22,LA-200,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
24,MassRxDraxxin,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
26,MassRxExcede,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
27,MassRxLA-200,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
28,MassRxMicotil,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
29,MassRxNaxcel,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
31,MassRxNuflor,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
32,MassRxZactran,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,,,May,2018,Natural,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
2,A180,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
4,Adspec,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
5,Advocin,547,84.0,75.0,84.64,13.71,43.42,23753.47,June,2018,Low,Other
6,AdvocinAs2ndRx,370,0.0,49.0,100.0,13.24,0.0,0.0,June,2018,Low,Other
7,AlbonBolus,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
8,Baytril,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
9,BaytrilAs2ndRx,650,0.0,62.0,100.0,9.54,0.0,0.0,June,2018,Low,Other
10,BaytrilAs3rdRx,49,0.0,10.0,100.0,20.41,0.0,0.0,June,2018,Low,Other
11,Bio-Mycin,69,0.0,1.0,100.0,1.45,0.0,0.0,June,2018,Low,Other
12,Bio-MyicnAs3rdRx,2,0.0,0.0,100.0,0.0,0.0,0.0,June,2018,Low,Other
13,Borgal,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
14,Ceftiflex,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
15,Draxxin,5866,176.0,273.0,97.0,4.65,46.77,274323.5,June,2018,Low,Other
16,DraxxinAs2ndRx,60,0.0,13.0,100.0,21.67,0.0,0.0,June,2018,Low,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
18,Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
19,ExcedeAs2ndRx,104,0.0,33.0,100.0,31.73,0.0,0.0,June,2018,Low,Other
20,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
21,Excenel,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
22,Hexasol,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
23,LA-200,68,0.0,0.0,100.0,0.0,6.6,448.8,June,2018,Low,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
25,MassRxDraxxin,889,0.0,27.0,100.0,3.04,15.54,13815.06,June,2018,Low,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
27,MassRxExcede,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
28,MassRxLA-200,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
29,MassRxMicotil,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
30,MassRxNaxcel,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,0.0,0.0,June,2018,Low,Other
32,MassRxNuflor,24,0.0,0.0,100.0,0.0,2.78,66.72,June,2018,Low,Other
0,MassRxZuprevo,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
1,Micotil,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
2,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
3,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
4,Naxcel,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
7,Nuflor,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
10,NuflorGold,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
12,Oxy100,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
13,Polyflex,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
14,Pro-Pen-G,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
15,ResflorGold,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
17,Tetradure,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
18,Tylan,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
19,Zactran,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
20,Zuprevo,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
0,MassRxZactran,0,,0.0,0.0,0.0,,,June,2018,Low,Other
1,MassRxZactran/Excede,0,,0.0,0.0,0.0,,,June,2018,Low,Other
2,MassRxZuprevo,0,,0.0,0.0,0.0,,,June,2018,Low,Other
3,Micotil,0,,0.0,0.0,0.0,,,June,2018,Low,Other
4,MicotilAs2ndRx,0,,0.0,0.0,0.0,,,June,2018,Low,Other
5,MicotilAs3rdRx,0,,0.0,0.0,0.0,,,June,2018,Low,Other
6,Naxcel,2,,2.0,100.0,100.0,2.11,4.22,June,2018,Low,Other
7,NaxcelAs2ndRx,63,,17.0,100.0,26.98,,,June,2018,Low,Other
8,NaxcelAs3rdRx,0,,0.0,0.0,0.0,,,June,2018,Low,Other
9,Nuflor,423,,54.0,82.51,12.77,2.54,7994.42,June,2018,Low,Other
10,NuflorAs2ndRx,36,,5.0,100.0,13.89,,,June,2018,Low,Other
11,NuflorAs3rdRx,0,,0.0,0.0,0.0,,,June,2018,Low,Other
12,NuflorGold,0,,0.0,0.0,0.0,,,June,2018,Low,Other
13,NuflorGoldAs2ndRx,0,,0.0,0.0,0.0,,,June,2018,Low,Other
14,Oxy100,0,,0.0,0.0,0.0,,,June,2018,Low,Other
15,Polyflex,51,,3.0,100.0,5.88,0.78,92.78,June,2018,Low,Other
16,Pro-Pen-G,0,,0.0,0.0,0.0,,,June,2018,Low,Other
17,ResflorGold,552,,73.0,82.25,13.22,4.25,8906.0,June,2018,Low,Other
18,ResflorGoldAs2ndRx,73,,14.0,100.0,19.18,,,June,2018,Low,Other
19,Tetradure,0,,0.0,0.0,0.0,,,June,2018,Low,Other
20,Tylan,0,,0.0,0.0,0.0,,,June,2018,Low,Other
21,Zactran,0,,0.0,0.0,0.0,,,June,2018,Low,Other
22,Zuprevo,0,,0.0,0.0,0.0,,,June,2018,Low,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
2,A180,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
4,Adspec,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
5,Advocin,963,63.0,137.0,93.46,14.23,0.95,9434.85,June,2018,Moderate,Other
6,AdvocinAs2ndRx,67,0.0,15.0,100.0,22.39,,,June,2018,Moderate,Other
7,AlbonBolus,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
8,Baytril,3,0.0,0.0,100.0,0.0,9.51,8.53,June,2018,Moderate,Other
9,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
10,BaytrilAs3rdRx,126,0.0,28.0,100.0,22.22,,,June,2018,Moderate,Other
11,Bio-Mycin,1386,144.0,30.0,89.61,2.16,0.51,4572.8,June,2018,Moderate,Other
12,Bio-MyicnAs3rdRx,54,4.0,12.0,92.59,22.22,0.7,61.8,June,2018,Moderate,Other
13,Borgal,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
14,Ceftiflex,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
15,Draxxin,5604,435.0,323.0,92.24,5.76,1.06,30114.25,June,2018,Moderate,Other
16,DraxxinAs2ndRx,43,14.0,8.0,67.44,18.6,6.01,548.22,June,2018,Moderate,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
18,Excede,662,166.0,81.0,74.92,12.24,4.37,9369.63,June,2018,Moderate,Other
19,ExcedeAs2ndRx,435,0.0,131.0,100.0,30.11,5.9,916.5,June,2018,Moderate,Other
20,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
21,Excenel,77,0.0,9.0,100.0,11.69,5.21,251.17,June,2018,Moderate,Other
22,Hexasol,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
23,LA-200,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
25,MassRxDraxxin,84,0.0,0.0,100.0,0.0,4.92,93.28,June,2018,Moderate,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
27,MassRxExcede,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
28,MassRxLA-200,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
29,MassRxMicotil,4099,165.0,23.0,95.97,0.56,,,June,2018,Moderate,Other
30,MassRxNaxcel,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
32,MassRxNuflor,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
33,MassRxZactran,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
0,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
1,MassRxZuprevo,666,1.0,16.0,99.85,2.4,8.62,2400.92,June,2018,Moderate,Other
2,Micotil,16,5.0,1.0,68.75,6.25,0.87,93.92,June,2018,Moderate,Other
3,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
4,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
5,Naxcel,10,0.0,0.0,100.0,0.0,8.54,85.4,June,2018,Moderate,Other
6,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
7,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
8,Nuflor,819,191.0,123.0,76.68,15.02,1.83,4258.77,June,2018,Moderate,Other
9,NuflorAs2ndRx,64,17.0,19.0,73.44,29.69,1.46,653.44,June,2018,Moderate,Other
10,NuflorAs3rdRx,202,0.0,77.0,100.0,38.12,,,June,2018,Moderate,Other
11,NuflorGold,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
13,Oxy100,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
14,Polyflex,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
15,Pro-Pen-G,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
16,ResflorGold,134,16.0,14.0,88.06,10.45,5.23,380.82,June,2018,Moderate,Other
17,ResflorGoldAs2ndRx,342,2.0,42.0,99.42,12.28,2.14,571.88,June,2018,Moderate,Other
18,Tetradure,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
19,Tylan,0,0.0,0.0,0.0,0.0,,,June,2018,Moderate,Other
20,Zactran,215,37.0,15.0,82.79,6.98,3.66,236.9,June,2018,Moderate,Other
21,Zuprevo,1271,0.0,154.0,100.0,12.12,5.86,2868.06,June,2018,Moderate,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
2,A180,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
4,Adspec,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
5,Advocin,500,12.0,39.0,97.6,7.8,3.18,1587.5,June,2018,High,Other
6,AdvocinAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
7,AlbonBolus,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
8,Baytril,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
9,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
10,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
11,Bio-Mycin,303,47.0,7.0,84.49,2.31,2.7,846.59,June,2018,High,Other
12,Bio-MyicnAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
13,Borgal,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
14,Ceftiflex,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
15,Draxxin,5586,417.0,268.0,92.53,4.8,4.38,47915.99,June,2018,High,Other
16,DraxxinAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
18,Excede,724,63.0,32.0,91.3,4.42,4.51,4988.86,June,2018,High,Other
19,ExcedeAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
20,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
21,Excenel,187,23.0,55.0,87.7,29.41,0.31,667.97,June,2018,High,Other
22,Hexasol,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
23,LA-200,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
25,MassRxDraxxin,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
27,MassRxExcede,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
28,MassRxLA-200,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
29,MassRxMicotil,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
30,MassRxNaxcel,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
32,MassRxNuflor,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
33,MassRxZactran,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
0,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
1,MassRxZuprevo,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
2,Micotil,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
3,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
4,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
5,Naxcel,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
6,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
7,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
8,Nuflor,495,126.0,53.0,74.55,10.71,5.7,7673.97,June,2018,High,Other
9,NuflorAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
10,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
11,NuflorGold,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
13,Oxy100,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
14,Polyflex,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
15,Pro-Pen-G,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
16,ResflorGold,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
17,ResflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
18,Tetradure,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
19,Tylan,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
20,Zactran,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
21,Zuprevo,0,0.0,0.0,0.0,0.0,,,June,2018,High,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
2,A180,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
4,Adspec,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
5,Advocin,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
6,AlbonBolus,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
7,Baytril,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
10,Bio-Mycin,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
12,Borgal,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
13,Ceftiflex,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
14,Draxxin,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
17,Excede,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
20,Excenel,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
21,Hexasol,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
22,LA-200,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
24,MassRxDraxxin,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
26,MassRxExcede,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
27,MassRxLA-200,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
28,MassRxMicotil,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
29,MassRxNaxcel,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
31,MassRxNuflor,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
32,MassRxZactran,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
0,MassRxZuprevo,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
1,Micotil,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
2,MicotilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
3,MicotilAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
4,Naxcel,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
7,Nuflor,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
10,NuflorGold,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
12,Oxy100,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
13,Polyflex,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
14,Pro-Pen-G,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
15,ResflorGold,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
17,Tetradure,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
18,Tylan,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
19,Zactran,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
20,Zuprevo,0,0.0,0.0,0.0,0.0,,,June,2018,UltraHigh,Other
1,300PROLA,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
2,A180,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
3,A180As2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
4,Adspec,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
5,Advocin,46,17.0,11.0,63.04,23.91,6.69,147.74,June,2018,Natural,Other
6,AlbonBolus,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
7,Baytril,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
10,Bio-Mycin,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
12,Borgal,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
13,Ceftiflex,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
14,Draxxin,231,76.0,15.0,67.1,6.49,8.85,974.35,June,2018,Natural,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
17,Excede,86,21.0,5.0,75.58,5.81,8.91,486.26,June,2018,Natural,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
20,Excenel,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
21,Hexasol,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
22,LA-200,0,0.0,0.0,0.0,0.0,,,June,2018,Natural,Other
